ID;Age;Sexe;Situation professionnelle avant le confinement;Useless Column;Useless Column;cognitive_rigidity_1;cognitive_rigidity_2;cognitive_rigidity_3;cognitive_rigidity_4;att_switch_1;att_switch_2;att_switch_3;att_switch_4;att_switch_5;att_switch_6;att_switch_7;att_switch_8;att_switch_9;att_switch_10;nflex_1;nflex_2;nflex_3;nflex_4;nflex_5;nflex_6;nflex_7;nflex_8;nflex_9;nflex_10;cfs_1;cfs_2;cfs_3;cfs_4;cfs_5;cfs_6;cfs_7;cfs_8;cfs_9;cfs_10;cfs_11;cfs_12;Error countNombre_error_count;Pourcentage_error_count;Nombre_perseveration_error_count;Pourcentage_perseveration_error_count;Nombre_non_perseveration_error_count;Pourcentage_non_perseveration_error_count
68;21;Femme;Etudiant;;;4;3;4;4;3;2;4;4;4;2;3;2;3;2;3;4;5;3;5;6;4;6;1;4;5;3;2;3;4;4;4;3;3;4;6;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
69;22;Femme;Etudiant;;;3;5;2;2;2;3;4;4;3;2;1;2;3;3;4;2;3;5;6;5;5;2;2;5;3;2;5;5;2;6;5;4;6;1;4;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
70;22;Homme;Etudiant;;;4;3;3;4;3;2;4;3;3;2;4;3;4;2;3;4;2;4;3;4;2;4;2;4;4;2;2;4;3;3;3;2;4;1;4;3;20;33;12;20;8;13
71;28;Femme;Travailleur;;;4;3;4;4;3;3;3;3;4;3;3;3;3;2;5;5;3;6;4;5;3;4;3;4;5;3;2;4;2;6;4;4;4;2;5;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
72;29;Homme;Sans emploi;;;2;3;4;4;3;3;3;3;3;3;4;4;3;3;5;5;3;5;3;3;5;3;5;5;5;3;2;4;3;6;3;3;4;3;6;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
73;22;Homme;Etudiant;;;4;3;4;4;3;3;3;4;3;2;4;2;1;2;5;4;4;3;4;6;2;6;2;4;5;3;2;4;2;6;4;2;2;2;5;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
74;35;Femme;Travailleur;;;4;4;4;3;3;3;3;3;3;3;2;3;4;3;5;4;4;5;4;4;5;3;3;4;6;4;4;4;2;3;3;4;4;4;4;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
75;21;Femme;Etudiant;;;1;2;4;4;4;2;3;4;4;2;4;3;2;2;6;6;4;6;2;4;5;6;3;6;6;1;2;6;1;6;6;4;6;2;6;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
76;23;Femme;Etudiant;;;3;3;3;4;3;3;3;3;3;2;4;3;2;2;4;4;3;3;3;4;3;4;3;4;5;2;2;4;2;4;4;4;4;2;4;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
77;31;Femme;Travailleur;;;3;4;2;3;3;4;3;4;2;2;2;3;4;3;4;4;4;4;3;4;2;4;1;4;4;4;4;4;3;4;4;4;4;3;4;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
78;22;Femme;Travailleur;;;5;3;4;4;3;2;3;4;3;2;3;3;2;1;4;4;3;4;6;5;3;4;4;4;5;1;2;2;4;4;4;4;3;3;6;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
79;22;Femme;Etudiant;;;3;6;5;1;2;2;3;1;2;4;1;1;3;3;5;4;6;5;6;3;4;6;4;6;4;4;1;5;3;5;5;3;4;5;6;3;8;13;6;10;2;3
80;26;Femme;Travailleur;;;3;2;4;4;3;3;2;2;4;3;3;4;3;3;5;4;3;5;2;6;6;3;3;1;4;3;2;2;3;4;3;3;4;4;3;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
81;24;Homme;Travailleur;;;3;3;5;3;1;4;3;4;3;3;4;3;3;3;3;4;5;4;6;5;5;5;6;5;5;1;2;5;4;4;5;5;4;3;6;5;27;45;18;30;9;15
82;22;Femme;Etudiant;;;4;3;4;4;3;3;4;4;2;3;3;3;4;4;5;5;2;5;3;6;6;5;4;5;4;4;4;4;4;6;3;3;3;4;4;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
83;22;Femme;Etudiant;;;4;4;3;3;3;2;2;1;2;3;4;2;4;3;4;3;4;5;3;3;5;4;4;2;4;2;3;2;3;3;4;3;4;4;4;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
84;51;Femme;Travailleur;;;3;4;3;4;3;3;3;3;3;2;3;3;3;3;4;4;4;4;4;4;3;4;3;4;4;2;2;3;3;5;4;4;4;3;6;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
85;28;Femme;Travailleur;;;4;3;4;3;3;3;3;4;1;1;4;4;1;3;4;4;1;5;3;4;4;4;3;5;4;4;4;4;4;4;3;3;4;3;4;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
86;40;Femme;Travailleur;;;3;4;4;4;2;3;1;3;3;3;4;3;1;3;4;3;3;3;6;3;4;4;4;4;6;2;1;2;2;6;4;4;3;3;6;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
87;24;Homme;Etudiant;;;6;2;5;5;4;2;4;4;4;2;4;3;4;2;6;6;4;6;2;6;1;6;1;6;6;2;1;6;1;6;6;6;6;2;6;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
88;25;Femme;Etudiant;;;6;3;5;4;3;2;4;3;4;2;3;4;3;3;5;5;1;4;3;4;3;4;3;4;5;3;1;4;1;6;4;4;6;3;4;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
89;20;Femme;Etudiant;;;3;2;4;4;3;2;3;4;2;3;2;3;4;3;3;4;3;4;4;3;3;5;3;5;4;3;3;4;2;4;4;4;3;2;6;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
90;23;Femme;Travailleur;;;3;4;4;4;3;4;3;3;2;3;3;4;4;2;4;4;4;5;4;5;5;5;2;2;4;3;3;5;3;3;5;5;4;3;5;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
94;22;Femme;Etudiant;;;3;5;3;4;1;4;1;2;2;4;3;3;3;4;2;3;6;1;4;3;5;3;2;4;4;5;4;2;3;3;2;3;5;6;3;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
95;25;Femme;Travailleur;;;5;4;3;4;4;2;4;4;2;2;3;3;3;4;5;5;3;5;3;4;4;3;3;4;5;3;5;3;4;6;4;3;4;5;6;3;10;17;8;13;2;3
96;26;Femme;Travailleur;;;5;4;2;4;2;3;2;3;2;3;2;3;4;3;5;4;3;4;5;3;4;5;3;4;6;3;5;5;1;6;5;5;5;2;6;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
97;23;Femme;Etudiant;;;4;5;1;2;4;4;4;3;4;3;4;4;2;2;5;4;2;5;3;5;1;3;2;6;6;1;1;4;1;6;4;4;5;1;6;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
98;23;Homme;Sans emploi;;;5;2;5;5;3;3;2;2;3;3;2;3;4;3;5;5;3;5;3;3;4;4;3;4;4;3;3;4;2;4;4;4;3;3;5;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
99;25;Femme;Sans emploi;;;3;4;3;3;2;2;3;3;3;3;2;3;3;4;4;3;5;4;4;4;3;3;1;6;4;3;4;4;3;4;2;3;4;4;4;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
100;26;Femme;Travailleur;;;4;3;3;4;4;3;3;3;4;4;4;4;4;4;6;5;5;4;2;3;5;5;6;6;6;5;4;4;2;5;6;6;6;2;6;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
101;27;Homme;Etudiant;;;1;3;4;5;2;2;3;2;3;2;4;3;2;2;4;4;4;4;5;4;3;5;3;5;4;3;3;4;1;5;4;4;5;3;5;5;6;10;5;8;1;2
102;22;Femme;Etudiant;;;4;5;3;3;4;3;3;3;4;2;2;3;2;2;5;4;4;4;4;6;3;4;1;4;4;3;4;4;4;4;5;3;4;5;4;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
103;26;Femme;Travailleur;;;4;3;3;4;2;4;1;4;2;3;3;3;3;4;2;2;6;2;5;3;6;2;5;6;5;4;1;5;3;5;4;4;4;4;5;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
104;46;Femme;Travailleur;;;4;4;3;4;3;2;3;2;1;3;3;4;3;3;4;4;4;4;4;6;3;3;2;3;5;2;3;4;1;5;4;6;4;3;3;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
106;23;Femme;Etudiant;;;4;2;4;4;3;3;3;4;2;3;3;3;2;3;5;4;3;4;3;4;2;3;2;4;4;3;3;4;2;4;4;4;3;2;5;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
108;22;Femme;Etudiant;;;2;4;3;3;4;1;4;2;3;3;1;4;3;2;5;5;1;6;2;5;1;3;1;5;5;3;5;4;2;2;6;6;6;2;4;2;7;12;5;8;2;3
109;24;Femme;Etudiant;;;1;4;2;5;3;3;3;4;2;2;3;3;2;3;4;4;2;4;4;4;5;3;3;4;4;4;4;4;2;4;4;4;4;3;5;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
110;24;Femme;Etudiant;;;4;3;4;4;4;2;3;2;3;3;2;4;3;1;5;4;2;6;2;6;2;4;2;4;4;1;2;4;4;4;4;4;3;1;5;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
111;24;Femme;Etudiant;;;2;4;2;3;1;3;1;2;4;2;3;2;3;1;1;3;5;3;6;5;5;4;5;5;4;1;4;4;4;4;4;5;3;4;4;4;12;20;9;15;3;5
